Time	Current	U_Battery	U_2
55537	0.07882	3.961	0.115
55749	0.07877	3.944	0.114
55962	0.07882	3.961	0.114
56175	0.07882	3.905	0.111
56388	0.07877	3.962	0.115
56600	0.07877	3.96	0.114
56813	0.07882	3.959	0.113
57026	0.07877	3.905	0.113
57238	0.07877	3.961	0.114
57451	0.07877	3.96	0.115
57664	0.07877	3.96	0.113
57876	0.07882	3.903	0.112
58089	0.07872	3.959	0.112
58302	0.07882	3.959	0.115
58515	0.07877	3.921	0.112
58727	0.07872	3.922	0.114
58940	0.07872	3.922	0.113
59153	0.07882	3.921	0.115
59364	0.07877	3.941	0.113
59577	0.07877	3.94	0.113
59790	0.07872	3.959	0.112
60003	0.07872	3.923	0.112
60215	0.07877	3.94	0.113
60428	0.07877	3.958	0.114
60641	0.07872	3.941	0.113
60853	0.07877	3.94	0.114
61066	0.07877	3.941	0.113
61279	0.07877	3.94	0.114
61491	0.07877	3.958	0.114
61704	0.07877	3.957	0.113
61917	0.07872	3.92	0.112
62130	0.07872	3.958	0.114
62342	0.07877	3.939	0.114
62555	0.07877	3.938	0.114
62768	0.07872	3.939	0.112
62980	0.07866	3.957	0.114
63193	0.07872	3.938	0.114
63406	0.07866	3.9	0.111
63619	0.07877	3.937	0.112
63831	0.07872	3.902	0.113
64044	0.07872	3.958	0.113
64257	0.07872	3.957	0.113
64469	0.07872	3.938	0.113
64682	0.07872	3.957	0.114
64895	0.07872	3.937	0.113
65107	0.07877	3.957	0.114
65320	0.07882	3.92	0.114
65533	0.07877	3.918	0.113
65746	0.07877	3.938	0.114
65958	0.07872	3.938	0.113
66171	0.07872	3.9	0.112
66384	0.07872	3.956	0.115
66596	0.07872	3.955	0.113
66809	0.07872	3.9	0.112
67022	0.07872	3.955	0.116
67234	0.07877	3.954	0.113
67447	0.07872	3.953	0.113
67660	0.07872	3.955	0.114
67873	0.07872	3.935	0.113
68085	0.07877	3.954	0.114
68298	0.07872	3.955	0.114
68511	0.07877	3.936	0.113
68723	0.07872	3.917	0.112
68936	0.07866	3.955	0.114
69149	0.07877	3.953	0.113
69362	0.07872	3.935	0.113
69574	0.07866	3.936	0.112
69787	0.07872	3.917	0.112
70000	0.07872	3.955	0.114
70212	0.07872	3.916	0.113
70425	0.07877	3.953	0.113
70638	0.07877	3.935	0.112
70850	0.07872	3.935	0.114
71063	0.07866	3.935	0.113
71276	0.07866	3.935	0.114
71489	0.07872	3.935	0.112
71701	0.07872	3.935	0.113
71914	0.07866	3.952	0.114
72127	0.07872	3.915	0.114
72339	0.07877	3.953	0.114
72552	0.07872	3.934	0.113
72765	0.07872	3.953	0.114
72978	0.07866	3.916	0.112
73190	0.07866	3.953	0.114
73403	0.07872	3.952	0.113
73616	0.07877	3.935	0.113
73827	0.07872	3.915	0.112
74040	0.07877	3.896	0.111
74253	0.07872	3.917	0.113
74465	0.07872	3.95	0.112
