Time	U_Bat_oszi	U_Fuse_oszi
5.68	3.405	0.871
5.69	3.435	0.900
5.70	3.424	0.905
5.71	3.420	0.861
5.72	3.420	0.885
5.73	3.420	0.875
5.74	3.420	0.861
5.75	3.453	0.927
5.76	3.420	0.883
5.77	3.447	0.941
5.78	3.420	0.898
5.79	3.428	0.878
5.80	3.420	0.879
5.81	3.420	0.900
5.82	3.420	0.900
5.83	3.420	0.871
5.84	3.420	0.921
5.85	3.429	0.871
5.86	3.420	0.861
5.87	3.449	0.890
5.88	3.441	0.900
5.89	3.437	0.878
5.90	3.420	0.940
5.91	3.432	0.913
5.92	3.442	0.923
5.93	3.420	0.893
5.94	3.423	0.864
5.95	3.460	0.941
5.96	3.443	0.909
5.97	3.454	0.900
5.98	3.388	0.834
5.99	3.460	0.915
6.00	3.445	0.926
6.01	3.420	0.861
6.02	3.420	0.867
6.03	3.420	0.900
6.04	3.460	0.914
6.05	3.456	0.938
6.06	3.427	0.908
6.07	3.460	0.900
6.08	3.420	0.929
6.09	3.420	0.900
6.10	3.451	0.933
6.11	3.460	0.922
6.12	3.420	0.890
6.13	3.459	0.979
6.14	3.420	0.891
6.15	3.440	0.921
6.16	3.429	0.881
6.17	3.420	0.901
6.18	3.449	0.930
6.19	3.441	0.922
6.20	3.420	0.892
6.21	3.420	0.900
6.22	3.420	0.900
6.23	3.442	0.941
6.24	3.427	0.908
6.25	3.423	0.904
6.26	3.460	0.941
6.27	3.420	0.877
6.28	3.454	0.900
6.29	3.455	0.941
6.30	3.434	0.915
6.31	3.420	0.900
6.32	3.455	0.971
6.33	3.425	0.936
6.34	3.420	0.900
6.35	3.379	0.820
6.36	3.420	0.900
6.37	3.413	0.887
6.38	3.420	0.900
6.39	3.420	0.873
6.40	3.420	0.900
6.41	3.460	0.941
6.42	3.420	0.900
6.43	3.449	0.900
6.44	3.419	0.940
6.45	3.429	0.919
6.46	3.440	0.961
6.47	3.420	0.911
6.48	3.459	0.941
6.49	3.420	0.930
6.50	3.420	0.900
6.51	3.420	0.861
6.52	3.420	0.900
6.53	3.420	0.913
6.54	3.420	0.923
6.55	3.420	0.900
6.56	3.457	0.938
6.57	3.460	0.954
6.58	3.396	0.877
6.59	3.420	0.907
6.60	3.420	0.905
6.61	3.434	0.941
6.62	3.435	0.980
6.63	3.384	0.871
6.64	3.460	0.941
6.65	3.420	0.917
6.66	3.433	0.900
6.67	3.420	0.904
6.68	3.420	0.907
6.69	3.442	0.964
6.70	3.420	0.941
6.71	3.422	0.944
6.72	3.420	0.869
6.73	3.441	0.922
6.74	3.402	0.934
6.75	3.420	0.941
6.76	3.379	0.861
6.77	3.420	0.921
6.78	3.420	0.922
6.79	3.380	0.901
6.80	3.449	0.970
6.81	3.420	0.900
6.82	3.451	0.963
6.83	3.381	0.863
6.84	3.407	0.917
6.85	3.437	0.980
6.86	3.460	0.949
6.87	3.457	0.944
6.88	3.420	0.941
6.89	3.420	0.900
6.90	3.420	0.968
6.91	3.420	0.865
6.92	3.420	0.926
6.93	3.420	0.941
6.94	3.455	0.976
6.95	3.454	0.975
6.96	3.404	0.925
6.97	3.420	0.915
6.98	3.420	0.977
6.99	3.453	0.948
7.00	3.437	0.941
7.01	3.447	0.968
7.02	3.458	0.978
7.03	3.428	0.949
7.04	3.438	0.937
7.05	3.431	0.952
7.06	3.420	0.980
7.07	3.450	0.980
7.08	3.420	0.943
7.09	3.420	0.931
7.10	3.420	0.941
7.11	3.420	0.941
7.12	3.460	0.983
7.13	3.428	0.950
7.14	3.420	0.943
7.15	3.432	0.924
7.16	3.420	0.941
7.17	3.412	0.900
7.18	3.420	0.938
7.19	3.420	0.941
7.20	3.420	0.917
7.21	3.460	0.987
7.22	3.420	0.941
7.23	3.434	0.956
7.24	3.445	0.980
7.25	3.420	0.976
7.26	3.460	0.986
7.27	3.460	0.965
7.28	3.433	0.955
7.29	3.420	0.941
7.30	3.420	0.974
7.31	3.460	1.021
7.32	3.447	0.968
7.33	3.420	0.941
7.34	3.420	0.877
7.35	3.438	0.937
7.36	3.420	0.941
7.37	3.421	0.981
7.38	3.410	0.932
7.39	3.420	0.961
7.40	3.420	0.980
7.41	3.419	0.980
7.42	3.420	0.911
7.43	3.420	0.941
7.44	3.442	0.963
7.45	3.420	0.979
7.46	3.420	0.980
7.47	3.420	0.923
7.48	3.427	0.980
7.49	3.460	1.019
7.50	3.420	0.980
7.51	3.427	0.972
7.52	3.413	0.974
7.53	3.424	0.945
7.54	3.420	0.941
7.55	3.429	0.911
7.56	3.420	0.941
7.57	3.385	0.906
7.58	3.420	0.941
7.59	3.420	0.941
7.60	3.456	1.014
7.61	3.453	1.008
7.62	3.396	0.918
7.63	3.420	0.968
7.64	3.422	0.944
7.65	3.420	0.949
7.66	3.420	0.941
7.67	3.420	0.980
7.68	3.420	0.941
7.69	3.420	0.971
7.70	3.420	0.941
7.71	3.450	0.971
7.72	3.420	0.980
7.73	3.420	0.991
7.74	3.439	0.980
7.75	3.420	1.004
7.76	3.421	0.982
7.77	3.431	0.965
7.78	3.460	1.044
7.79	3.420	0.973
7.80	3.420	0.980
7.81	3.420	0.980
7.82	3.420	0.980
7.83	3.420	0.947
7.84	3.460	1.017
7.85	3.460	0.995
7.86	3.420	0.980
7.87	3.455	1.012
7.88	3.454	1.016
7.89	3.435	0.980
7.90	3.446	1.007
7.91	3.420	0.980
7.92	3.420	0.974
7.93	3.460	0.998
7.94	3.420	0.980
7.95	3.420	0.980
7.96	3.460	1.030
7.97	3.460	1.025
7.98	3.460	1.010
7.99	3.421	1.021
8.00	3.429	0.990
8.01	3.420	0.961
8.02	3.460	1.011
8.03	3.420	0.942
8.04	3.420	0.941
8.05	3.420	0.980
8.06	3.388	0.980
8.07	3.458	1.021
8.08	3.431	1.005
8.09	3.437	1.017
8.10	3.427	0.988
8.11	3.460	1.019
8.12	3.447	1.036
8.13	3.443	1.046
8.14	3.420	1.021
8.15	3.424	0.989
8.16	3.420	0.980
8.17	3.435	0.996
8.18	3.379	0.941
8.19	3.454	0.980
8.20	3.435	0.997
8.21	3.460	1.036
8.22	3.460	1.059
8.23	3.420	1.015
8.24	3.420	0.980
8.25	3.432	0.980
8.26	3.422	0.983
8.27	3.452	1.013
8.28	3.420	0.999
8.29	3.448	0.980
8.30	3.420	0.942
8.31	3.420	0.980
8.32	3.420	0.961
8.33	3.430	1.032
8.34	3.420	0.942
8.35	3.420	0.991
8.36	3.420	1.021
8.37	3.420	1.012
8.38	3.460	1.021
8.39	3.420	0.969
8.40	3.442	1.003
8.41	3.379	1.014
8.42	3.422	0.983
8.43	3.433	1.007
8.44	3.443	1.028
8.45	3.420	0.980
8.46	3.456	1.054
8.47	3.445	1.048
8.48	3.420	0.980
8.49	3.455	1.052
8.50	3.420	1.021
8.51	3.420	1.005
8.52	3.420	0.980
8.53	3.383	0.980
8.54	3.420	0.980
8.55	3.443	1.050
8.56	3.447	1.049
8.57	3.457	1.060
8.58	3.420	1.013
8.59	3.438	0.997
8.60	3.431	1.033
8.61	3.420	0.982
8.62	3.429	0.999
8.63	3.420	1.001
8.64	3.450	1.081
8.65	3.420	1.021
8.66	3.420	1.002
8.67	3.440	1.023
8.68	3.397	1.007
8.69	3.420	1.020
8.70	3.431	1.063
8.71	3.424	1.026
8.72	3.420	1.021
8.73	3.457	1.019
8.74	3.420	1.021
8.75	3.443	1.021
8.76	3.460	1.063
8.77	3.424	1.026
8.78	3.445	1.021
8.79	3.404	1.006
8.80	3.420	1.057
8.81	3.460	1.063
8.82	3.444	1.063
8.83	3.460	1.048
8.84	3.423	1.025
8.85	3.460	1.056
8.86	3.437	1.039
8.87	3.432	1.047
8.88	3.457	1.057
8.89	3.452	1.054
8.90	3.420	1.021
8.91	3.431	1.063
8.92	3.459	1.061
8.93	3.460	1.063
8.94	3.440	1.023
8.95	3.460	1.072
8.96	3.460	1.101
8.97	3.430	1.091
8.98	3.420	1.021
8.99	3.451	1.063
9.00	3.421	1.024
9.01	3.420	1.021
9.02	3.460	1.063
9.03	3.452	1.086
9.04	3.457	1.024
9.05	3.420	1.021
9.06	3.460	1.079
9.07	3.420	1.021
9.08	3.460	1.066
9.09	3.460	1.102
9.10	3.444	1.047
9.11	3.425	1.063
9.12	3.460	1.063
9.13	3.460	1.078
9.14	3.474	1.076
9.15	3.423	1.063
9.16	3.460	1.102
9.17	3.460	1.079
9.18	3.420	1.021
9.19	3.495	1.138
9.20	3.420	1.063
9.21	3.460	1.102
9.22	3.403	1.033
9.23	3.420	1.063
9.24	3.460	1.102
9.25	3.460	1.081
9.26	3.449	1.081
9.27	3.460	1.102
9.28	3.420	1.052
9.29	3.420	1.063
9.30	3.491	1.125
9.31	3.458	1.100
9.32	3.460	1.102
9.33	3.442	1.084
9.34	3.420	1.029
9.35	3.460	1.102
9.36	3.460	1.102
9.37	3.436	1.102
9.38	3.420	1.069
9.39	3.420	1.063
9.40	3.460	1.102
9.41	3.444	1.102
9.42	3.420	1.057
9.43	3.460	1.132
9.44	3.420	1.086
9.45	3.420	1.076
9.46	3.460	1.102
9.47	3.453	1.069
9.48	3.436	1.135
9.49	3.447	1.076
9.50	3.384	1.027
9.51	3.452	1.135
9.52	3.460	1.143
9.53	3.431	1.074
9.54	3.458	1.102
9.55	3.429	1.071
9.56	3.440	1.104
9.57	3.460	1.112
9.58	3.420	1.063
9.59	3.460	1.112
9.60	3.439	1.102
9.61	3.420	1.102
9.62	3.421	1.102
9.63	3.448	1.131
9.64	3.420	1.084
9.65	3.427	1.102
9.66	3.460	1.140
9.67	3.433	1.115
9.68	3.443	1.085
9.69	3.420	1.095
9.70	3.460	1.146
9.71	3.445	1.128
9.72	3.460	1.143
9.73	3.495	1.143
9.74	3.455	1.171
9.75	3.444	1.127
9.76	3.434	1.116
9.77	3.496	1.174
9.78	3.453	1.102
9.79	3.420	1.125
9.80	3.447	1.169
9.81	3.422	1.143
9.82	3.427	1.110
9.83	3.460	1.143
9.84	3.431	1.125
9.85	3.460	1.180
9.86	3.429	1.111
9.87	3.440	1.124
9.88	3.420	1.083
9.89	3.460	1.182
9.90	3.460	1.143
9.91	3.460	1.143
9.92	3.460	1.191
9.93	3.458	1.141
9.94	3.460	1.182
9.95	3.420	1.164
9.96	3.427	1.110
9.97	3.457	1.140
9.98	3.432	1.115
9.99	3.460	1.119
10.00	3.453	1.143
10.01	3.456	1.182
10.02	3.445	1.153
10.03	3.460	1.158
10.04	3.420	1.102
10.05	3.460	1.148
10.06	3.460	1.182
10.07	3.445	1.168
10.08	3.464	1.146
10.09	3.460	1.149
10.10	3.436	1.143
10.11	3.433	1.155
10.12	3.457	1.179
10.13	3.460	1.182
10.14	3.442	1.164
10.15	3.431	1.154
10.16	3.458	1.180
10.17	3.491	1.254
10.18	3.460	1.203
10.19	3.460	1.192
10.20	3.460	1.182
10.21	3.460	1.192
10.22	3.460	1.223
10.23	3.451	1.182
10.24	3.460	1.221
10.25	3.448	1.194
10.26	3.438	1.179
10.27	3.427	1.158
10.28	3.460	1.223
10.29	3.460	1.236
10.30	3.460	1.205
10.31	3.426	1.188
10.32	3.423	1.186
10.33	3.460	1.196
10.34	3.460	1.207
10.35	3.425	1.223
10.36	3.455	1.253
10.37	3.435	1.197
10.38	3.445	1.208
10.39	3.464	1.223
10.40	3.426	1.182
10.41	3.436	1.199
10.42	3.460	1.250
10.43	3.457	1.223
10.44	3.492	1.303
10.45	3.482	1.267
10.46	3.460	1.194
10.47	3.421	1.184
10.48	3.451	1.213
10.49	3.481	1.264
10.50	3.460	1.233
10.51	3.460	1.223
10.52	3.460	1.253
10.53	3.460	1.264
10.54	3.460	1.264
10.55	3.461	1.225
10.56	3.471	1.275
10.57	3.482	1.285
10.58	3.460	1.223
10.59	3.462	1.266
10.60	3.487	1.318
10.61	3.460	1.286
10.62	3.466	1.303
10.63	3.460	1.264
10.64	3.460	1.264
10.65	3.475	1.319
10.66	3.460	1.264
10.67	3.465	1.274
10.68	3.460	1.288
10.69	3.500	1.344
10.70	3.460	1.268
10.71	3.466	1.315
10.72	3.460	1.327
10.73	3.460	1.264
10.74	3.462	1.228
10.75	3.492	1.295
10.76	3.460	1.303
10.77	3.472	1.275
10.78	3.461	1.304
10.79	3.460	1.294
10.80	3.481	1.303
10.81	3.449	1.253
10.82	3.500	1.344
10.83	3.460	1.313
10.84	3.460	1.303
10.85	3.491	1.344
10.86	3.499	1.382
10.87	3.488	1.344
10.88	3.460	1.325
10.89	3.460	1.344
10.90	3.460	1.346
10.91	3.460	1.344
10.92	3.483	1.366
10.93	3.460	1.309
10.94	3.463	1.347
10.95	3.474	1.372
10.96	3.475	1.359
10.97	3.500	1.388
10.98	3.500	1.424
10.99	3.485	1.344
11.00	3.474	1.398
11.01	3.460	1.420
11.02	3.460	1.383
11.03	3.483	1.424
11.04	3.500	1.409
11.05	3.460	1.380
11.06	3.467	1.431
11.07	3.518	1.481
11.08	3.460	1.383
11.09	3.498	1.424
11.10	3.500	1.432
11.11	3.481	1.444
11.12	3.500	1.493
11.13	3.500	1.463
11.14	3.530	1.524
11.15	3.480	1.444
11.16	3.509	1.472
11.17	3.500	1.464
11.18	3.500	1.492
11.19	3.500	1.504
11.20	3.500	1.496
11.21	3.502	1.545
11.22	3.527	1.532
11.23	3.500	1.504
11.24	3.500	1.545
11.25	3.500	1.504
11.26	3.540	1.584
